year,imdb,title,test,clean_test,binary,budget,Country,Genre,isUSFilm,Production,RT_Score
2010,tt1279935,Date Night,ok,ok,PASS,55000000,USA,"Comedy, Crime, Romance, Thriller",True,20th Century Fox,66
2010,tt0989757,Dear John,nowomen,nowomen,FAIL,25000000,USA,"Drama, Romance, War",True,Screen Gems/SONY PICTURES,29
2010,tt1323594,Despicable Me,ok-disagree,ok,PASS,69000000,"USA, France","Animation, Comedy, Family, Fantasy",True,Universal Pictures,81
2010,tt1314655,Devil,ok-disagree,ok,PASS,10000000,USA,"Horror, Mystery, Thriller",True,Universal Pictures,52
2010,tt1196141,Diary of a Wimpy Kid,ok,ok,PASS,15000000,"USA, UK","Comedy, Drama, Family",True,20th Century Fox,52
2010,tt0427152,Dinner for Schmucks,notalk,notalk,FAIL,69000000,USA,Comedy,True,Paramount Studios,41
2010,tt1270761,Don&#39;t Be Afraid of the Dark,ok,ok,PASS,25000000,"USA, Australia, Mexico","Fantasy, Horror, Thriller",True,Miramax Films,59
2010,tt1231583,Due Date,notalk,notalk,FAIL,65000000,USA,"Adventure, Comedy",True,Warner Bros. Pictures,40
2010,tt1013860,Dylan Dog: Dead of Night,nowomen,nowomen,FAIL,20000000,USA,"Action, Comedy, Crime, Fantasy, Horror, Mystery, Sci-Fi, Thriller",True,Freestyle Releasing,7
2010,tt1282140,Easy A,ok-disagree,ok,PASS,8000000,USA,"Comedy, Drama, Romance",True,Sony Pictures/Screen Gems,85
2010,tt0879870,"Eat, Pray, Love",ok-disagree,ok,PASS,60000000,USA,"Drama, Romance",True,Sony Pictures,36
2010,tt1226273,Edge of Darkness,notalk,notalk,FAIL,60000000,"UK, USA","Crime, Drama, Mystery, Thriller",True,Warner Bros. Pictures,56
2010,tt1531663,Everything Must Go,notalk,notalk,FAIL,5000000,USA,"Comedy, Drama",True,Roadside Attractions,73
2010,tt0977855,Fair Game,ok,ok,PASS,50000000,"USA, United Arab Emirates","Biography, Drama, Thriller",True,Summit Entertainment,79
2010,tt1433108,Faster,nowomen,nowomen,FAIL,12000000,USA,"Action, Crime, Drama, Thriller",True,CBS Films,42
2010,tt1405500,For Colored Girls,ok,ok,PASS,21000000,USA,Drama,True,Lionsgate,32
2010,tt1323045,Frozen,notalk,notalk,FAIL,150000000,USA,"Adventure, Drama, Sport, Thriller",True,Anchor Bay,63
2010,tt1226229,Get Him To The Greek,notalk,notalk,FAIL,40000000,USA,"Adventure, Comedy, Music",True,Universal Pictures,72
2010,tt1322312,Going the Distance,ok,ok,PASS,32000000,USA,"Comedy, Romance",True,New Line Cinema,53
2010,tt0947810,Green Zone,nowomen-disagree,nowomen,FAIL,100000000,"UK, France, Spain, USA","Action, Drama, Thriller, War",True,Universal Pictures,54
2010,tt1375670,Grown Ups,ok-disagree,ok,PASS,75000000,USA,Comedy,True,Sony Pictures,10
2010,tt1376195,Gunless,men,men,FAIL,9900000,Canada,"Action, Comedy, Drama, Western",False,Cinema Eopch,40
2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1,ok-disagree,ok,PASS,125000000,"UK, USA","Adventure, Fantasy, Mystery",True,Warner Bros. Pictures,77
2010,tt1231587,Hot Tub Time Machine,notalk,notalk,FAIL,36000000,USA,"Comedy, Sci-Fi",True,MGM,64
2010,tt0892769,How to Train Your Dragon,ok,ok,PASS,165000000,USA,"Animation, Action, Adventure, Family, Fantasy",True,Paramount/DWA,99
2010,tt1226236,I Am Love,ok,ok,PASS,10000000,Italy,"Drama, Romance",False,Magnolia Pictures,82
2010,tt1375666,Inception,dubious-disagree,dubious,FAIL,160000000,"USA, UK","Action, Adventure, Sci-Fi, Thriller",True,Warner Bros. Pictures,86
2010,tt1591095,Insidious,ok-disagree,ok,PASS,1500000,"USA, Canada, UK","Horror, Mystery, Thriller",True,FilmDistrict,66
2010,tt1228705,Iron Man 2,ok,ok,PASS,170000000,USA,"Action, Adventure, Sci-Fi",True,Paramount Studios,73
2010,tt0804497,It&#39;s Kind of a Funny Story,notalk,notalk,FAIL,8000000,USA,"Comedy, Drama, Romance",True,Focus Features,58
2010,tt1250777,Kick-Ass,notalk-disagree,notalk,FAIL,28000000,"UK, USA","Action, Comedy",True,Lionsgate,76
2010,tt1013743,Knight and Day,men-disagree,men,FAIL,117000000,USA,"Action, Adventure, Comedy, Romance, Thriller",True,20th Century Fox,52
2010,tt1038686,Legion,ok,ok,PASS,26000000,USA,"Action, Fantasy, Horror",True,Screen Gems,19
2010,tt1228987,Let Me In,notalk-disagree,notalk,FAIL,20000000,"UK, USA","Drama, Fantasy, Horror, Mystery, Thriller",True,Overture Films,88
2010,tt0892318,Letters to Juliet,dubious-disagree,dubious,FAIL,30000000,USA,"Adventure, Comedy, Drama, Romance",True,Summit Entertainment,41
2010,tt0758752,Love and Other Drugs,men-disagree,men,FAIL,30000000,USA,"Comedy, Drama, Romance",True,20th Century Fox,48
2010,tt0985694,Machete,ok,ok,PASS,12500000,USA,"Action, Crime, Thriller",True,20th Century Fox,72
2010,tt1371155,Made In Dagenham,ok,ok,PASS,8000000,UK,"Biography, Comedy, Drama, History",False,Sony Pictures Classics,80
2010,tt1518812,Meek&#39;s Cutoff,men,men,FAIL,2000000,USA,"Drama, Western",True,Oscilloscope Pictures,86
2010,tt1001526,Megamind,nowomen-disagree,nowomen,FAIL,130000000,USA,"Animation, Action, Comedy, Family, Sci-Fi",True,Paramount Studios/DWA,72
2010,tt1470827,Monsters,nowomen-disagree,nowomen,FAIL,500000,UK,"Drama, Sci-Fi, Thriller",False,Magnolia Pictures,73
2010,tt1126618,Morning Glory,ok,ok,PASS,40000000,USA,"Comedy, Drama, Romance",True,Paramount Studios,55
2010,tt1415283,Nanny McPhee and the Big Bang,ok,ok,PASS,35000000,"UK, France, USA","Comedy, Family, Fantasy",True,Universal Studios,76
2010,tt1334260,Never Let Me Go,ok,ok,PASS,15000000,"UK, USA","Drama, Romance, Sci-Fi",True,Fox Searchlight Pictures,69
2010,tt1536044,Paranormal Activity 2,ok,ok,PASS,3000000,USA,Horror,True,Paramount Pictures,59
2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief,dubious-disagree,dubious,FAIL,95000000,"UK, Canada, USA","Adventure, Family, Fantasy",True,20th Century Fox,49
