year,imdb,title,clean_test,clean_test_numeric,binary,budget,Country,Genre,isAction,isCrime,isUSFilm,Production,RT_Score
2009,tt0499549,Avatar,men,2,FAIL,425000000,"UK, USA","Action, Adventure, Fantasy, Sci-Fi",TRUE,FALSE,TRUE,20th Century Fox,82
2009,tt1176740,Away We Go,ok,3,PASS,21000000,"USA, UK","Comedy, Drama, Romance",FALSE,FALSE,TRUE,Focus Features,68
2009,tt0889583,Br&uuml;no,nowomen,0,FAIL,42000000,"USA, UK",Comedy,FALSE,FALSE,TRUE,Universal Pictures,67
2009,tt0901476,Bride Wars,ok,3,PASS,30000000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,20th Century Fox,10
2009,tt0810784,Bright Star,ok,3,PASS,8500000,"UK, Australia, France","Biography, Drama, Romance",FALSE,FALSE,FALSE,Apparition Films,82
2009,tt1210042,Brooklyn&#39;s Finest,notalk,1,FAIL,17000000,USA,"Crime, Drama, Thriller",FALSE,TRUE,TRUE,Overture Films,44
2009,tt0765010,Brothers,ok,3,PASS,26000000,USA,"Drama, War",FALSE,FALSE,TRUE,Lionsgate Films,63
2009,tt1232207,Capitalism: A Love Story,notalk,1,FAIL,20000000,USA,"Documentary, Crime, News",FALSE,TRUE,TRUE,Overture Films,75
2009,tt0795351,Case 39,ok,3,PASS,27000000,"USA, Canada","Horror, Mystery, Thriller",FALSE,FALSE,TRUE,Paramount Studios,21
2009,tt1352824,Chloe,men,2,FAIL,13000000,"USA, Canada, France","Drama, Mystery, Romance, Thriller",FALSE,FALSE,TRUE,Sony Pictures Classics,51
2009,tt0844471,Cloudy with a Chance of Meatballs,notalk,1,FAIL,100000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",FALSE,FALSE,TRUE,Sony Pictures,86
2009,tt1035736,Coco avant Chanel,ok,3,PASS,23000000,"France, Belgium","Biography, Drama",FALSE,FALSE,FALSE,Sony Pictures Classics,63
2009,tt0327597,Coraline,ok,3,PASS,60000000,USA,"Animation, Drama, Fantasy, Thriller",FALSE,FALSE,TRUE,Focus Features,90
2009,tt0433362,Daybreakers,notalk,1,FAIL,20000000,"Australia, USA","Action, Fantasy, Horror, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Lionsgate,67
2009,tt1278340,Dead Snow,men,2,FAIL,800000,Norway,"Comedy, Horror",FALSE,FALSE,FALSE,IFC,68
2009,tt1136608,District 9,notalk,1,FAIL,30000000,"South Africa, USA, New Zealand, Canada","Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Sony Pictures/Screen Gems,90
2009,tt1127180,Drag Me to Hell,ok,3,PASS,30000000,USA,"Horror, Thriller",FALSE,FALSE,TRUE,Universal Pictures,92
2009,tt1191111,Enter the Void,notalk,1,FAIL,16000000,"France, Germany, Italy, Canada, Japan","Drama, Fantasy",FALSE,FALSE,FALSE,IFC Films,71
2009,tt0780511,Everybody&#39;s Fine,men,2,FAIL,20000000,USA,"Adventure, Drama",FALSE,FALSE,TRUE,Miramax,47
2009,tt0432283,Fantastic Mr. Fox,notalk,1,FAIL,40000000,USA,"Animation, Adventure, Comedy, Crime, Drama, Family",FALSE,TRUE,TRUE,20th Century Fox,92
2009,tt1013752,Fast &amp; Furious,notalk,1,FAIL,85000000,USA,"Action, Crime, Thriller",TRUE,TRUE,TRUE,Universal Pictures,29
2009,tt1083456,Fired Up!,notalk,1,FAIL,20000000,USA,"Comedy, Sport",FALSE,FALSE,TRUE,Sony/Screen Gems,25
2009,tt1232776,Fish Tank,ok,3,PASS,3000000,"Netherlands, UK",Drama,FALSE,FALSE,FALSE,IFC,91
2009,tt0758746,Friday the 13th,men,2,FAIL,17000000,USA,"Horror, Mystery, Thriller",FALSE,FALSE,TRUE,Warner Bros. Pictures/New Line/Paramount,25
2009,tt1201167,Funny People,notalk,1,FAIL,72500000,USA,"Comedy, Drama",FALSE,FALSE,TRUE,Universal Pictures,69
2009,tt0436339,G-Force,notalk,1,FAIL,150000000,USA,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",TRUE,FALSE,TRUE,Walt Disney Pictures,22
2009,tt1046173,G.I. Joe: The Rise of Cobra,notalk,1,FAIL,175000000,"USA, Czech Republic","Action, Adventure, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Paramount Pictures,34
2009,tt1034032,Gamer,notalk,1,FAIL,50000000,USA,"Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Lionsgate Films,30
2009,tt1194263,Get Low,notalk,1,FAIL,7000000,"USA, Germany, Poland","Drama, Mystery",FALSE,FALSE,TRUE,Sony Pictures Classics,85
2009,tt1289406,Harry Brown,notalk,1,FAIL,7300000,UK,"Action, Crime, Drama, Thriller",TRUE,TRUE,FALSE,Samuel Goldwyn Films,63
2009,tt0417741,Harry Potter and the Half-Blood Prince,ok,3,PASS,250000000,"UK, USA","Adventure, Family, Fantasy, Mystery",FALSE,FALSE,TRUE,Warner Bros. Pictures,84
